,brand_name,shoe_type,original_price,sale_price,shoe_weight
230,Jordan,"['MARS 270  ', ' Basketballschuh ']","96,95","149,95",unknown
231,Salomon,"['SPEEDCROSS 5 ', ' Laufschuh Trail ']","129,95",,311 
232,adidas Performance,"['ADILETTE AQUA SWIM ', ' Badesandale ']","15,96","19,95",unknown
233,Under Armour,"['CHARGED PURSUIT 2 ', ' Laufschuh Neutral ']","41,95","59,95",285 
234,Nike Performance,"['RENEW RETALIATION TR 2 ', ' Trainings']","44,99","74,99",unknown
235,adidas Performance,"['DURAMO ', ' Laufschuh Neutral ']","52,20","54,95",unknown
236,Under Armour,"['HOVR SUMMIT ', ' Laufschuh Neutral ']","84,97","130,00",317 
237,New Balance,"['FRESH FOAM TEMPO ', ' Laufschuh Neutral ']","83,95","139,95",246 
238,adidas Performance,"['SPEZIAL BOOST ', ' Handballschuh ']","74,99","119,95",unknown
239,Champion,"['MID CUT SHOE REBOUND VINTAGE ', ' Basketballschuh ']","31,95","39,95",unknown
240,New Balance,"['ROAV ', ' Laufschuh Neutral ']","53,95","89,95",285 
241,Puma,"['HYBRID ', ' Laufschuh Neutral ']","49,95","99,95",unknown
242,Reebok,"['CLUB C ', ' Sneaker low ']","60,20","99,95",unknown
243,Nike Performance,"['LEGEND ESSENTIAL ', ' Trainings']","59,95",,unknown
244,adidas Performance,"['ALPHATORSION ', ' Laufschuh Stabilität ']","64,95","99,95",291 
245,adidas Performance,"['TERREX SWIFT R2 HIKING SHOES ', ' Hikingschuh ']","89,95","119,95",unknown
246,Nike Performance,"['AIR ZOOM PEGASUS 37 AS UNISEX ', ' Laufschuh Neutral ']","119,95",,226 
247,adidas Performance,"['LIGRA 6 SHOES ', ' Volleyballschuh ']","36,60","54,99",unknown
248,Salomon,"['XA PRO 3D V8 ', ' Hikingschuh ']","129,95",,unknown
249,Vibram Fivefingers,"['V', 'TRAIL 2.0 ']","111,95","139,95",123 
250,Nike Performance,"['REVOLUTION 5 ', ' Laufschuh Neutral ']","54,95",,310 
251,Salomon,"['OUTLINE GTX ', ' Hikingschuh ']","92,95","129,99",unknown
